speed_kmh,angle_deg,distance_m
96.23,50.43,39.13
215.27,19.92,152.02
78.72,-64.11,0.37
133.33,-23.22,0.00
140.61,-25.05,0.69
57.82,-62.79,0.00
157.19,12.02,67.65
181.37,-28.77,0.00
47.37,-44.65,0.00
77.50,75.36,16.15
76.48,-34.26,0.00
128.79,28.65,81.79
78.50,43.19,29.30
145.37,-6.62,4.09
88.26,26.94,33.86
120.62,35.54,65.00
60.08,-52.04,0.41
54.05,-11.45,2.11
40.41,32.08,8.33
155.03,-53.03,0.00
108.13,-31.53,1.13
210.40,15.96,134.99
121.60,15.47,56.17
57.73,-44.46,0.53
97.53,23.95,47.03
58.99,-41.84,0.00
139.70,21.03,64.92
73.69,64.66,20.21
77.78,-66.16,0.00
110.74,44.26,54.62
118.59,-43.68,0.00
217.29,34.14,157.91
195.68,-28.76,1.13
52.22,-55.08,0.00
116.40,20.77,59.77
122.31,34.44,63.28
77.66,41.47,31.78
72.81,9.29,13.38
110.63,19.95,46.76
108.21,51.82,45.85
153.24,-16.83,1.86
147.32,-12.58,1.56
62.03,9.11,10.18
146.91,17.43,67.66
114.51,-30.47,0.00
70.90,-26.63,1.10
172.94,10.80,69.99
128.98,-62.44,0.00
136.10,37.16,82.82
47.71,10.17,7.82
75.54,-46.27,0.00
185.43,-35.29,0.00
139.76,24.89,68.08
162.14,28.60,104.12
96.99,26.95,40.50
45.78,-40.99,0.00
85.61,-47.93,0.76
103.50,-35.24,0.94
35.46,15.25,5.61
178.27,-17.72,1.33
75.60,38.35,27.46
94.32,-61.81,0.00
185.84,-12.54,1.58
128.82,47.38,66.10
222.88,4.94,56.22
190.72,-49.50,0.00
110.29,-8.69,3.59
63.65,36.76,23.46
62.62,-7.75,3.38
44.68,-52.21,0.39
135.40,-3.42,7.77
155.81,21.75,80.08
110.67,-21.82,0.00
43.39,1.92,5.14
175.16,-61.17,0.00
105.47,25.56,52.97
101.41,2.69,13.57
169.49,-31.79,0.05
94.07,-58.38,0.00
88.09,7.03,17.18
169.86,52.38,88.70
99.36,27.61,45.39
68.90,-41.05,0.22
78.74,31.91,37.14
164.52,15.90,90.05
146.25,7.18,36.39
105.71,31.80,48.84
35.26,-3.06,3.64
84.20,57.32,26.66
68.31,1.87,7.49
145.12,34.29,89.89
248.95,-7.56,4.08
177.98,16.14,108.58
159.32,-11.51,2.35
84.83,-51.22,0.83
133.92,-7.82,4.29
146.11,16.78,76.93
153.39,-39.91,0.00
122.52,-20.64,1.32
85.95,-52.92,0.08
170.71,-40.90,0.00
173.27,25.60,127.01
57.91,59.77,14.45
131.48,2.12,17.52
189.96,66.61,70.91
98.94,-35.50,0.00
187.65,1.01,21.85
49.92,35.63,13.93
201.10,52.60,114.93
121.40,-17.52,1.94
50.67,38.96,14.23
171.80,58.11,74.53
126.53,-8.54,3.40
221.00,-45.73,0.33
34.98,-11.29,1.62
133.01,14.98,50.71
156.84,-76.39,0.00
58.44,-41.77,0.08
140.79,-24.93,1.30
191.87,32.55,143.34
166.78,-26.90,0.00
293.06,-16.05,2.48
69.88,46.96,24.46
58.32,-19.51,0.85
51.15,65.05,10.92
81.50,-48.75,0.62
100.68,-26.77,0.68
78.15,-52.03,0.00
58.84,-68.27,0.08
114.25,20.85,49.88
72.05,27.82,21.45
64.93,51.53,19.04
120.51,-23.81,0.57
84.70,37.52,39.95
65.00,-51.12,0.00
210.03,-17.99,0.71
97.98,70.24,16.93
182.22,-18.15,0.55
146.40,37.81,89.76
62.75,39.00,23.07
121.58,6.84,26.19
107.45,-15.63,0.34
146.59,-15.53,0.78
118.19,-32.37,0.00
225.90,-32.93,1.25
91.66,10.10,21.23
223.40,-40.26,0.15
132.77,-5.48,6.68
48.93,61.51,10.74
90.69,12.99,18.96
199.61,-7.03,3.59
114.56,-24.40,0.74
210.45,-17.53,1.05
197.23,3.56,37.57
99.77,-6.04,4.63
85.16,5.55,12.80
106.18,-66.55,0.00
81.86,24.96,35.44
170.16,35.11,114.85
82.81,63.93,24.71
155.71,10.28,51.78
133.42,29.59,71.81
66.77,-23.82,0.00
62.31,-60.42,0.00
208.90,36.47,153.55
91.95,13.52,25.01
128.36,49.30,61.35
193.68,16.84,118.95
56.23,19.21,13.09
63.69,62.74,15.13
55.16,51.82,14.06
93.90,-70.64,0.60
35.51,-27.67,0.66
90.24,-2.52,6.46
55.11,74.55,7.85
187.57,-6.69,5.21
77.37,-56.67,0.00
168.94,26.79,107.66
88.91,5.79,14.09
154.53,-28.90,0.03
97.69,-62.22,0.00
113.59,-18.32,0.71
33.53,-31.17,0.73
56.94,55.56,14.75
120.39,-22.20,0.09
106.45,-55.10,0.00
76.20,1.73,8.48
95.40,1.55,10.32
194.93,56.57,95.22
170.28,61.97,68.56
40.05,-63.32,0.00
186.17,19.04,110.77
112.15,-34.37,0.00
191.66,25.54,123.21
184.03,-25.27,0.00
63.75,-28.01,0.09
76.49,20.17,26.09
74.33,-33.70,0.00
189.66,26.65,134.22
188.32,-30.17,0.00
226.84,5.37,60.13
175.38,40.43,115.11
118.20,61.56,37.68
39.40,0.01,3.76
166.52,-42.26,0.00
130.68,33.90,74.26
154.78,-0.31,14.48
147.78,18.35,78.09
139.12,-42.42,0.50
136.59,59.02,53.91
193.45,0.65,21.49
62.44,14.33,15.19
122.49,-57.01,0.00
116.04,-47.44,0.00
99.85,26.37,50.20
117.66,32.52,63.48
169.41,31.11,112.88
84.34,-27.76,0.63
96.53,16.34,32.62
183.67,3.20,31.39
61.29,59.93,12.43
155.60,21.90,104.33
173.74,19.01,110.91
62.78,-24.79,1.19
98.47,46.19,43.21
199.35,-13.33,2.17
42.35,-35.67,0.82
117.58,44.57,56.02
131.38,8.07,41.61
63.90,-48.22,0.03
54.14,-10.24,2.71
85.87,24.69,41.37
79.99,31.82,29.29
104.95,-3.60,7.18
60.76,-46.21,0.13
61.52,55.13,16.78
63.86,82.14,2.32
170.56,18.11,109.80
142.02,-4.92,6.09
93.89,9.27,20.31
81.57,7.38,13.96
59.86,-35.39,0.05
98.63,-33.21,0.51
126.72,34.23,70.50
60.49,7.85,8.73
152.80,-9.50,3.91
119.49,18.61,52.63
71.39,37.05,22.28
112.22,-24.18,0.00
168.25,36.65,112.70
132.17,-64.71,0.00
166.23,49.43,93.65
164.55,19.95,97.21
122.42,16.80,47.25
182.86,-44.79,0.00
170.97,-23.98,0.01
79.03,-6.58,3.66
187.84,-12.13,1.33
88.46,44.14,38.54
46.47,-69.15,0.00
166.98,-37.41,0.00
61.86,-58.10,0.16
92.90,-4.40,5.37
208.48,-14.68,1.40
114.05,-30.84,1.06
91.36,-68.28,0.00
97.37,20.22,43.80
81.43,-34.66,0.00
171.84,17.56,83.46
119.63,-14.60,2.39
91.43,-62.25,0.00
56.51,47.66,15.60
163.39,12.71,78.05
158.53,-33.26,0.00
152.96,0.15,14.88
86.07,-82.29,0.01
146.72,-71.15,0.08
191.91,-34.59,0.13
87.73,34.26,35.53
87.67,-26.28,0.73
142.14,-12.19,2.53
135.91,50.39,65.82
183.66,-22.49,0.50
124.90,0.02,13.09
91.31,49.53,35.28
151.53,35.78,97.70
54.20,-65.22,0.00
206.41,51.10,122.79
144.82,57.33,63.79
137.72,22.12,87.28
107.47,-3.23,7.11
179.04,17.45,99.94
101.52,-49.39,0.08
182.20,10.36,79.63
147.17,-59.30,0.00
48.77,-38.35,0.36
145.84,-22.92,0.35
74.10,-32.68,0.82
76.83,-36.91,0.00
56.16,47.52,16.00
248.02,-13.95,2.24
59.40,-54.14,0.00
182.81,-41.41,0.15
53.49,25.96,14.16
176.09,14.44,93.88
90.67,60.70,26.06
101.42,30.85,54.79
91.99,19.41,36.92
66.75,-55.71,0.30
66.82,-54.54,0.42
185.97,31.77,125.80
103.20,-41.52,0.25
153.53,-37.96,0.00
144.78,-64.67,0.12
93.71,-55.13,0.40
71.62,-58.29,0.00
163.24,-79.90,0.00
121.33,45.01,57.21
164.57,20.30,88.76
110.32,-77.91,0.00
106.28,38.33,52.51
114.27,-6.28,5.27
141.57,-27.89,0.64
60.20,-36.01,0.00
144.42,14.42,71.25
147.76,-28.90,0.00
54.21,-67.56,0.21
94.54,36.07,41.60
91.67,34.69,34.45
103.99,-50.65,0.45
100.36,19.95,41.54
37.72,-27.50,1.24
82.36,14.81,24.05
73.50,-30.33,0.16
156.45,-4.02,8.05
109.07,-25.33,0.06
154.35,22.31,96.40
62.68,15.89,14.45
62.05,65.56,14.65
101.51,-65.19,0.00
104.56,38.12,54.12
232.22,16.05,154.32
116.49,-50.99,0.10
148.56,-5.03,6.20
75.01,33.65,29.15
65.13,15.72,15.19
192.91,0.36,18.65
98.81,-22.04,1.03
127.45,-59.17,0.49
93.00,-84.16,0.00
111.99,80.09,7.34
66.93,-31.25,1.04
199.69,23.25,140.37
76.36,39.06,31.86
136.18,10.40,51.48
157.88,14.75,67.39
82.03,-47.57,0.00
51.72,73.95,8.76
109.49,-20.21,0.37
53.42,48.29,13.86
73.42,-33.12,0.00
56.22,12.88,8.22
105.48,-30.52,0.00
69.68,-24.44,1.36
91.85,24.10,36.86
129.25,21.12,74.09
89.95,16.96,30.86
129.85,-66.85,0.29
114.16,44.92,57.32
76.70,-74.11,0.00
164.12,-12.15,2.48
113.51,-42.32,0.00
196.31,21.38,127.11
53.99,-38.77,0.20
64.33,-21.91,1.31
221.33,4.74,63.29
135.97,-8.11,3.25
47.55,61.98,10.17
89.11,-30.97,0.28
164.78,-23.52,0.49
80.19,45.42,27.28
50.15,69.20,9.73
120.58,26.28,72.23
125.69,-50.95,0.47
115.16,4.18,17.57
37.29,2.18,4.12
79.04,12.74,19.91
167.09,-3.35,7.87
61.12,33.92,17.47
75.62,4.32,10.99
154.89,-22.07,1.72
91.16,13.46,35.86
172.65,-37.83,0.36
74.65,-27.80,0.00
63.03,-57.12,0.33
73.49,21.49,21.60
188.26,-21.42,0.02
127.37,-31.60,0.24
103.78,0.55,10.27
88.06,66.32,26.13
101.17,-30.84,0.07
42.04,51.84,8.99
130.91,-23.50,0.00
210.78,-9.48,2.91
183.11,-29.58,0.52
104.18,45.21,46.67
105.76,-16.55,1.10
42.24,-45.07,0.34
145.75,-73.76,0.00
43.23,77.96,5.63
163.48,36.98,106.29
69.34,0.29,7.02
50.36,11.48,8.88
64.17,14.50,14.28
131.82,-2.16,7.27
67.65,-61.39,0.31
163.73,-45.41,0.12
96.67,-40.74,0.37
101.70,49.62,44.04
65.22,-68.61,0.19
121.17,-52.86,0.88
68.69,-48.07,0.00
82.32,27.96,35.90
52.84,38.36,14.23
87.15,-3.21,5.58
96.52,-31.12,0.30
197.01,42.77,132.99
131.39,-49.15,0.09
129.64,-45.92,0.00
87.46,-23.07,0.28
147.50,14.40,65.06
64.93,48.67,20.22
77.38,38.37,33.08
138.12,30.47,81.78
129.56,-33.78,0.00
113.71,-11.98,2.74
187.88,-29.42,0.08
90.24,-62.60,0.00
132.59,26.91,82.41
255.03,-11.62,3.39
50.97,40.39,15.72
136.72,38.16,79.95
80.92,-52.81,0.15
110.43,0.46,10.68
151.63,-76.18,0.22
72.60,-11.75,2.88
100.57,-57.43,0.00
148.04,43.20,87.02
50.17,-37.99,0.05
71.54,-28.95,0.53
47.14,10.29,7.13
200.49,6.88,64.90
100.49,-26.32,0.00
212.32,-23.69,0.42
135.60,-1.28,10.96
162.37,-22.55,0.52
53.45,-30.61,0.31
138.09,-17.32,1.58
90.54,-0.27,8.84
79.73,-13.88,1.84
95.42,-44.42,0.21
86.39,-36.08,0.00
166.64,16.39,76.91
70.53,61.85,19.02
70.41,-9.17,3.90
49.58,-37.86,0.00
108.54,73.85,28.11
93.80,-64.87,0.00
140.04,-48.95,0.00
73.98,-9.22,3.01
78.70,15.83,20.08
136.00,-54.52,0.00
172.28,30.52,121.44
82.66,-61.96,0.05
91.45,49.84,36.45
182.28,24.10,117.89
230.84,-17.80,1.81
68.60,-37.39,0.00
129.37,42.77,70.93
98.90,71.78,15.67
73.42,32.52,29.81
206.05,-31.56,0.00
89.12,-29.60,0.17
132.18,40.01,77.07
118.06,-7.69,2.91
71.03,-31.70,0.00
54.78,22.09,13.11
69.03,-4.23,4.34
73.58,-49.03,0.00
156.22,19.83,75.83
149.71,31.28,91.01
168.47,-31.26,0.55
62.26,-51.05,0.64
81.95,-82.56,0.00
201.42,-7.03,3.46
98.59,22.15,34.75
89.96,-27.24,0.38
52.43,55.23,12.55
53.71,21.51,12.16
101.44,-14.06,1.74
94.79,-44.55,0.27
77.65,-24.46,1.59
127.42,59.04,50.42
130.28,-40.67,0.74
169.38,-28.71,0.00
55.88,-61.63,0.55
85.67,-28.56,1.14
203.62,37.10,148.83
79.57,15.23,23.53
107.65,-62.49,0.08
117.95,-11.85,1.80
118.65,-5.50,5.92
93.49,75.68,16.59
61.70,-7.47,3.53
134.57,33.80,74.11
171.74,-14.48,0.00
164.44,-67.51,0.00
56.54,-16.33,2.42
182.73,75.55,40.59
116.81,21.32,61.76
107.78,-19.34,1.21
68.44,54.17,20.66
104.15,-55.63,0.00
111.57,-25.40,0.31
143.24,28.71,75.43
58.69,-40.13,0.54
171.92,11.38,70.08
87.70,18.13,34.24
99.79,-32.60,0.23
151.51,40.93,91.41
71.96,-18.76,1.27
186.89,-38.14,0.95
109.98,47.77,48.74
94.38,-19.76,1.10
210.31,-15.91,1.05
224.10,36.02,170.31
69.53,-57.02,0.00
53.07,-31.11,0.54
66.08,-74.78,0.00
154.03,66.71,49.70
102.91,-21.36,1.34
95.32,-44.42,0.18
130.63,24.35,69.40
164.07,-22.77,0.80
94.63,-45.05,0.00
210.99,-32.52,0.00
202.52,-7.56,4.25
163.28,-20.85,0.02
237.22,7.73,87.88
90.74,-46.76,0.85
190.33,-34.39,0.02
69.01,-59.46,0.31
156.63,-20.54,0.00
92.86,25.13,34.19
127.73,4.71,21.94
143.46,-20.21,0.00
99.11,25.85,53.52
172.41,-22.08,0.54
185.59,18.07,109.97
75.44,-47.41,0.00
85.57,43.85,36.42
133.08,-5.65,5.85
98.03,33.53,40.20
196.05,-2.46,8.75
88.88,46.58,34.64
73.10,60.66,20.37
203.03,3.96,45.86
132.18,6.55,34.26
112.40,-2.45,7.34
199.22,9.83,78.84
112.66,30.59,56.96
147.68,18.68,80.23
143.79,-50.97,0.38
66.90,65.46,11.33
67.92,40.37,23.18
59.84,-53.97,0.00
64.81,-48.34,0.32
131.36,-43.73,0.00
142.18,-72.27,0.00
84.00,73.94,20.01
46.71,-27.79,1.10
59.05,41.37,18.22
91.63,-21.54,0.00
83.64,30.17,36.45
99.62,-25.37,0.57
203.09,31.47,150.77
82.00,25.25,26.67
173.08,14.15,98.60
85.05,-39.72,0.00
52.73,23.06,11.68
61.13,29.39,18.60
164.27,-57.59,0.00
92.26,9.80,21.94
46.06,72.54,7.79
214.09,42.60,149.43
62.10,-6.25,3.90
104.48,44.19,45.49
84.37,46.09,35.15
129.03,-40.58,0.46
108.07,-44.26,0.00
64.66,-39.18,0.00
62.67,46.18,20.89
134.96,-33.48,0.65
70.63,58.22,18.69
75.76,-8.38,3.15
122.10,-12.84,0.66
137.34,-12.18,2.68
135.20,-18.89,0.10
98.41,28.69,51.49
95.83,-72.54,0.00
73.74,-71.43,0.00
120.56,-57.79,0.00
146.17,-17.01,2.10
97.23,-22.68,0.52
149.64,23.28,80.89
113.79,-52.63,0.00
72.40,-26.97,0.00
147.26,39.08,86.87
108.09,-31.44,0.65
152.98,29.18,100.85
163.65,-19.62,0.81
133.67,0.87,13.42
158.99,-60.94,0.00
43.60,2.83,4.43
120.46,12.71,36.01
68.50,47.60,22.25
75.06,17.09,19.61
204.39,1.61,28.58
45.59,61.90,9.59
75.72,-39.99,0.00
118.12,-11.08,1.82
60.68,29.77,18.76
57.28,-78.41,0.00
149.00,-68.61,0.31
143.98,-3.59,6.87
46.16,67.85,8.72
130.69,-32.18,0.31
135.31,-51.44,0.00
80.69,7.42,16.11
52.44,-20.22,1.80
142.17,26.93,93.60
113.97,-31.25,0.00
78.50,-30.63,0.76
42.47,-6.32,3.10
90.52,20.90,40.17
32.54,11.84,3.97
126.11,-23.23,0.00
41.39,-19.43,1.66
209.26,1.55,28.48
79.88,-6.30,3.38
93.51,30.77,38.57
200.73,-27.35,0.00
192.16,-15.62,1.33
135.69,-16.15,2.06
140.78,-20.75,1.33
85.62,-26.63,0.00
63.67,68.93,14.16
47.69,-17.10,1.00
188.92,-29.27,0.39
168.27,25.81,104.22
57.31,-41.40,0.95
195.66,-7.76,4.93
183.92,-9.04,2.15
56.29,-76.65,0.04
120.92,32.97,68.85
101.65,16.25,33.04
182.93,20.83,120.16
72.72,11.98,16.54
103.82,-32.82,0.00
225.39,2.25,38.17
109.94,-1.30,9.31
64.54,-48.35,0.46
148.63,-38.85,0.00
204.73,-30.50,0.00
59.56,-54.47,0.00
97.81,36.56,42.49
161.75,-26.33,0.24
73.17,-36.27,0.61
87.81,-36.94,0.12
86.66,-46.84,0.09
108.11,13.69,42.79
69.14,37.26,20.53
58.19,-59.34,0.00
50.28,50.40,12.66
106.88,40.84,49.62
149.00,-6.25,4.35
48.34,-35.20,0.79
76.46,13.56,20.97
80.44,56.96,24.93
77.41,-36.92,0.46
123.80,24.71,59.15
92.84,-3.91,5.05
116.23,-25.01,0.17
92.97,-46.82,0.44
40.42,-50.43,0.58
177.31,37.83,121.69
99.20,-35.18,0.20
87.96,20.63,32.11
153.66,-20.78,1.31
59.83,35.78,20.64
106.14,-31.05,0.00
100.00,-30.52,0.00
108.64,-37.55,0.00
50.51,18.20,10.41
52.58,34.99,14.76
155.44,41.90,92.96
157.36,32.64,99.99
128.09,11.25,40.07
56.40,19.20,12.20
90.61,14.75,24.42
